amfi_code,benchmark,beta,alpha_annualised,r_squared,n_obs
100016,NIFTY100,-0.05826843143880892,0.03747580763443281,0.0026650326981333254,1149
100025,NIFTY100,0.001158218315528142,0.042817920315060876,1.4612842041844915e-05,1149
100033,NIFTY100,0.00510352583052831,0.2719535450128533,1.2066520635068157e-05,1149
101206,NIFTY100,0.021086316250128034,0.21399784776051212,0.0003480482030714251,1149
101207,NIFTY100,-0.06528924788351524,0.10897091901704538,0.0010641052735572622,1149
101208,NIFTY100,0.000266709683382383,0.060861457957871144,4.6076236771051865e-05,1149
102885,NIFTY100,-0.019486785689474533,0.17048756803412696,0.0003828503073092386,1149
102886,NIFTY100,-0.042125029021894314,0.028969397866379445,0.0008964294600687576,1149
102887,NIFTY100,0.016682689437770806,0.16211256794033255,0.00018619166432850127,1149
118632,NIFTY100,-0.008353832126962023,0.21829397904608644,5.791756270127835e-05,1149
118633,NIFTY100,-0.03663900671860934,0.15643835948169668,0.0011382947171084273,1149
118634,NIFTY100,0.10349663691337595,0.1750072167561127,0.0027930065610663247,1149
118635,NIFTY100,-0.0014335213897801254,0.1513635464823924,2.0253408972328218e-06,1149
118636,NIFTY100,0.0012566742731558492,0.05074772999976104,1.6516652310332834e-05,1149
119092,NIFTY100,0.00973074500115364,0.0689952982167755,8.082637693810779e-05,1149
119093,NIFTY100,0.025883212440093152,0.08232801295222093,0.0005692038090244872,1149
119094,NIFTY100,-0.06626542862803758,0.2607666908004223,0.0019368789369602314,1149
119095,NIFTY100,-0.06695117463929201,0.048015953637759554,0.001185159346448672,1149
119120,NIFTY100,-0.006413850728276475,0.05620895216638369,0.00043426033217200497,1149
119551,NIFTY100,-0.03175144113890975,0.23201007160635082,0.0008869788879322824,1149
119552,NIFTY100,-0.02615930751351341,0.1986859936686296,0.0005850821704543428,1149
119598,NIFTY100,-0.023196062044059707,0.3033696538698332,0.00014142575502721727,1149
119599,NIFTY100,0.06200180438267168,0.048824215945539845,0.0010259205326765965,1149
120503,NIFTY100,-0.0402689523698206,0.17703302365844073,0.0013974446083318604,1149
120504,NIFTY100,0.016232169761417014,0.2119482701352573,0.0002121612907588747,1149
120505,NIFTY100,0.0005490042506317192,0.2926358334175106,1.3455341675669201e-07,1149
120506,NIFTY100,0.04189646272811976,0.1625385327998104,0.0012571178108220732,1149
120507,NIFTY100,-0.0004440926329707229,0.06746210411099539,0.00013430661440679839,1149
120841,NIFTY100,0.0363563990221998,0.13042924450705445,0.0012113711061211873,1149
120842,NIFTY100,0.01805687420811818,0.0780443887615508,0.000169155488383144,1149
120843,NIFTY100,-0.022829569792426528,0.27330465038306057,0.00034305434271514427,1149
120844,NIFTY100,-0.00040074423947840057,0.06455677495375998,0.0001012543569227174,1149
125497,NIFTY100,0.04882040425957737,0.17729754927531766,0.0018401792783071561,1149
125498,NIFTY100,0.009054412621739165,0.11989100971217971,4.043746553634254e-05,1149
148567,NIFTY100,0.02368355807584862,0.2698375144191807,0.00046254369066238443,1149
148568,NIFTY100,-0.02638771994384301,0.20873010086942337,0.00048592647527973177,1149
148569,NIFTY100,0.018133884083859235,0.2827036785246582,0.00017488886568129533,1149
149322,NIFTY100,-0.0040502711300065075,0.13173190226099432,1.3227607880850288e-05,1149
149323,NIFTY100,-0.0025230046646992294,0.26598577542043045,3.357978192008812e-06,1149
149324,NIFTY100,0.01145515996052071,0.3005787817097677,3.5329906267955646e-05,1149
