amfi_code,ann_return,ann_volatility,sharpe_ratio
100016,0.036324687080969253,0.14548134802183876,-0.1971064559748662
100025,0.043781224757101,0.039052455281001604,-0.5433403633707404
100033,0.31253943549713137,0.18936710835214166,1.3071934067705893
101206,0.23931060444318453,0.14568212847454326,1.1965133010370854
101207,0.11286684498581656,0.2579732221707774,0.18554966512814602
101208,0.06275257769506415,0.005064371352310742,-0.44377123014693864
102885,0.18510427388856976,0.1283662839786056,0.9356372262718702
102886,0.028058210749381862,0.18134576297311303,-0.20370913907757118
102887,0.17653467644260967,0.15758366917912994,0.7077806794549565
118632,0.24351578734954238,0.14148352294996655,1.2617425946671663
118633,0.16796535611096863,0.13997213649186155,0.7356132348308864
118634,0.1949789778947717,0.2524152094634046,0.5149411486379396
118635,0.16331539411396712,0.12983158874316306,0.7572532622123089
118636,0.05209275230246191,0.039855381553882616,-0.32385206700601016
119092,0.07174178856308622,0.13950661341123835,0.04832594239251393
119093,0.08666206468402038,0.13983295593638856,0.15491387233403456
119094,0.29510935156102813,0.1940711742333472,1.1856956730954251
119095,0.04702397872905184,0.2506658023260044,-0.0717130980937295
119120,0.057603383377117234,0.039670623690338705,-0.18645072688091172
119551,0.2597676685285746,0.13741434141879644,1.4173751190567725
119552,0.21872286899571125,0.13939367612717501,1.10279657776916
119598,0.35320298502744674,0.25140578624384674,1.1463657592507006
119599,0.05203539522009115,0.24950125122855862,-0.05196208322030605
120503,0.1921194279616114,0.1388443751311979,0.9155533152963001
120504,0.23659074563644888,0.14363780566736659,1.1946071219844108
120505,0.33974985967411375,0.19290949406318195,1.424242290450087
120506,0.17794849083354647,0.15230516379673067,0.7415933118609795
120507,0.069765446606042,0.0049391262595120155,0.9648359559273194
120841,0.14055333035228657,0.13463795800784448,0.5611592114898576
120842,0.0817582221915567,0.17894715006571874,0.0936490029900013
120843,0.3131842332046193,0.1588698652360926,1.5621857098940621
120844,0.0666641700592201,0.005133170487371137,0.32419925722598963
125497,0.19570531955818304,0.14668866752399518,0.891038972296905
125498,0.12765578290291413,0.18352430087335778,0.3414031962238624
148567,0.3105161344956593,0.1419370675462035,1.7297534656740645
148568,0.23100694175845482,0.15429144469823297,1.0759309570477826
148569,0.3272412420725268,0.17674006691346694,1.4837679234382195
149322,0.14062109121201694,0.14353859818510503,0.5268345390589451
149323,0.30443233679271087,0.17746159397550842,1.349206503947863
149324,0.350873865939471,0.24840205005242097,1.1508514759807427
