company_id,year,metric,flag
ABB,2012-12,interest_coverage,Debt Free
ABB,2012-12,revenue_cagr_3y,INSUFFICIENT
ABB,2012-12,revenue_cagr_5y,INSUFFICIENT
ABB,2012-12,revenue_cagr_10y,INSUFFICIENT
ABB,2012-12,pat_cagr_3y,INSUFFICIENT
ABB,2012-12,pat_cagr_5y,INSUFFICIENT
ABB,2012-12,pat_cagr_10y,INSUFFICIENT
ABB,2012-12,eps_cagr_3y,INSUFFICIENT
ABB,2012-12,eps_cagr_5y,INSUFFICIENT
ABB,2012-12,eps_cagr_10y,INSUFFICIENT
ABB,2014-03,interest_coverage,Debt Free
ABB,2014-03,revenue_cagr_3y,INSUFFICIENT
ABB,2014-03,revenue_cagr_5y,INSUFFICIENT
ABB,2014-03,revenue_cagr_10y,INSUFFICIENT
ABB,2014-03,pat_cagr_3y,INSUFFICIENT
ABB,2014-03,pat_cagr_5y,INSUFFICIENT
ABB,2014-03,pat_cagr_10y,INSUFFICIENT
ABB,2014-03,eps_cagr_3y,INSUFFICIENT
ABB,2014-03,eps_cagr_5y,INSUFFICIENT
ABB,2014-03,eps_cagr_10y,INSUFFICIENT
ABB,2015-03,interest_coverage,Debt Free
ABB,2015-03,revenue_cagr_3y,INSUFFICIENT
ABB,2015-03,revenue_cagr_5y,INSUFFICIENT
ABB,2015-03,revenue_cagr_10y,INSUFFICIENT
ABB,2015-03,pat_cagr_3y,INSUFFICIENT
ABB,2015-03,pat_cagr_5y,INSUFFICIENT
ABB,2015-03,pat_cagr_10y,INSUFFICIENT
ABB,2015-03,eps_cagr_3y,INSUFFICIENT
ABB,2015-03,eps_cagr_5y,INSUFFICIENT
ABB,2015-03,eps_cagr_10y,INSUFFICIENT
ABB,2016-03,revenue_cagr_5y,INSUFFICIENT
ABB,2016-03,revenue_cagr_10y,INSUFFICIENT
ABB,2016-03,pat_cagr_5y,INSUFFICIENT
ABB,2016-03,pat_cagr_10y,INSUFFICIENT
ABB,2016-03,eps_cagr_5y,INSUFFICIENT
ABB,2016-03,eps_cagr_10y,INSUFFICIENT
ABB,2017-03,revenue_cagr_5y,INSUFFICIENT
ABB,2017-03,revenue_cagr_10y,INSUFFICIENT
ABB,2017-03,pat_cagr_5y,INSUFFICIENT
ABB,2017-03,pat_cagr_10y,INSUFFICIENT
ABB,2017-03,eps_cagr_5y,INSUFFICIENT
ABB,2017-03,eps_cagr_10y,INSUFFICIENT
ABB,2018-03,revenue_cagr_10y,INSUFFICIENT
ABB,2018-03,pat_cagr_10y,INSUFFICIENT
ABB,2018-03,eps_cagr_10y,INSUFFICIENT
ABB,2019-03,revenue_cagr_10y,INSUFFICIENT
ABB,2019-03,pat_cagr_10y,INSUFFICIENT
