metric,p10,median,p90,minimum,maximum
net_profit_margin_pct,4.619194610984474,14.208254232549017,29.24548245324143,-3.9798524404086266,432.7262044653349
operating_profit_margin_pct,9.837909494446341,25.833656455990695,84.04312668463612,-13.729168991026642,102.02531365231931
ebit_margin_pct,6.978097291278173,22.506132551766555,72.26001568771535,1.4800654303226186,440.36427732079903
return_on_equity_pct,8.370767521615225,16.716051794688113,48.27674122146251,-5.334926929972293,4744.047619047619
return_on_capital_employed_pct,4.307341867241787,14.387942215662598,51.232101232101236,1.4128942772751119,4155.905511811024
return_on_assets_pct,1.1402758683204666,6.208612241806171,22.61590775334045,-3.050239234449761,2475.1552795031057
debt_to_equity,0.008129006675038002,0.43491620111731844,6.445624336310825,0.0,14.867419925542423
interest_coverage,1.6013129144200153,8.328323212723957,165.08333333333354,0.847229621736814,3747.5
net_debt_cr,-30811.0,851.0,273928.0,-4976133.0,2101821.0
net_debt_to_ebitda,-2.501194457716197,0.28054185431410394,9.184177584911959,-183.54079696394686,25.788651640964808
asset_turnover,0.07325702420450533,0.6788531553398058,1.6559406621205455,0.012805202156520298,125.88819875776397
fixed_asset_turnover,0.7990192966865558,4.966419476703512,65.51452550032279,0.14803159719992293,1211.1363636363637
free_cash_flow_cr,-14556.0,1095.0,19069.0,-101229.0,45207.0
cfo_to_pat,-3.6898395721925135,1.1115405853119824,2.9429906542056075,-13.166666666666666,15.375923970432947
capex_intensity_pct,0.0,7.17847584166784,28.606330301245553,0.0,228.4164859002169
fcf_conversion_pct,-340.8523070723353,37.07782672540382,117.48890461182222,-1316.6666666666665,324.94741762093946
book_value_per_share,61.845112179487174,220.37183641781868,1179.176031008935,7.636363636363637,5750.833333333333
earnings_per_share,6.1,41.5,154.10000000000005,-5.0,844.0
dividend_payout_ratio_pct,2.0,25.0,64.60000000000001,-101.0,150.0
revenue_cagr_3y,8.522532034887087,18.282008662499027,32.42353373080278,-0.05530974579651682,76.46921430165466
revenue_cagr_5y,5.838805854237616,11.836370175898114,21.08864867789759,-5.136730668466605,36.30691600183056
revenue_cagr_10y,5.638218960813486,11.200766251991956,18.66760630346779,-4.917554706101179,33.754542295740954
pat_cagr_3y,4.576041736071428,22.538070013299595,73.19885138791636,-25.134755898556637,218.7155543964547
pat_cagr_5y,4.3594698195265895,16.2781059479576,39.277589291381965,-22.397399063784775,120.69250867467933
pat_cagr_10y,7.545947187802726,12.885036563882046,22.51828946734826,-22.269171506089446,79.98083083658562
eps_cagr_3y,3.5438338165356633,19.665740906765684,69.44907039400044,-26.319370027192267,162.07413942088965
eps_cagr_5y,3.5558153809400497,14.869835499703509,31.639008770631808,-19.72584382397693,121.23568222761168
eps_cagr_10y,4.466110412135802,10.669278794823967,19.165893297438785,-34.87773528813343,33.5141362540313
price_to_earnings,23.323353895388603,151.01582668358802,1139.8933288505118,4.4868430442858545,2298.806002994012
price_to_book,4.459253224529239,27.570394747251008,272.77864498249704,0.5450322187928885,16128.345952380952
ev_to_ebitda,9.066794957206339,73.22433251815531,641.9283382168215,3.050417065430917,1802.9593724966624
fcf_yield_pct,-2.61443014217979,0.13006228662120078,2.9991751112119767,-20.40097504287343,10.781545408672736
